ticker	name	sector
GVT&D.NS	GE Vernova T&D India Ltd.	Capital Goods
GMRAIRPORT.NS	GMR Airports Ltd.	Services
GRSE.NS	Garden Reach Shipbuilders & Engineers Ltd.	Capital Goods
GICRE.NS	General Insurance Corporation of India	Financial Services
GILLETTE.NS	Gillette India Ltd.	Fast Moving Consumer Goods
GLAND.NS	Gland Pharma Ltd.	Healthcare
GLAXO.NS	Glaxosmithkline Pharmaceuticals Ltd.	Healthcare
GLENMARK.NS	Glenmark Pharmaceuticals Ltd.	Healthcare
MEDANTA.NS	Global Health Ltd.	Healthcare
GODIGIT.NS	Go Digit General Insurance Ltd.	Financial Services
GPIL.NS	Godawari Power & Ispat Ltd.	Capital Goods
GODFRYPHLP.NS	Godfrey Phillips India Ltd.	Fast Moving Consumer Goods
GODREJAGRO.NS	Godrej Agrovet Ltd.	Fast Moving Consumer Goods
GODREJCP.NS	Godrej Consumer Products Ltd.	Fast Moving Consumer Goods
GODREJIND.NS	Godrej Industries Ltd.	Diversified
GODREJPROP.NS	Godrej Properties Ltd.	Realty
GRANULES.NS	Granules India Ltd.	Healthcare
GRAPHITE.NS	Graphite India Ltd.	Capital Goods
GRASIM.NS	Grasim Industries Ltd.	Construction Materials
GRAVITA.NS	Gravita India Ltd.	Metals & Mining
GESHIP.NS	Great Eastern Shipping Co. Ltd.	Services
FLUOROCHEM.NS	Gujarat Fluorochemicals Ltd.	Chemicals
GUJGASLTD.NS	Gujarat Gas Ltd.	Oil Gas & Consumable Fuels
GMDCLTD.NS	Gujarat Mineral Development Corporation Ltd.	Metals & Mining
GNFC.NS	Gujarat Narmada Valley Fertilizers and Chemicals Ltd.	Chemicals
GPPL.NS	Gujarat Pipavav Port Ltd.	Services
GSPL.NS	Gujarat State Petronet Ltd.	Oil Gas & Consumable Fuels
HEG.NS	H.E.G. Ltd.	Capital Goods
HBLENGINE.NS	HBL Engineering Ltd.	Capital Goods
HCLTECH.NS	HCL Technologies Ltd.	Information Technology
HDFCAMC.NS	HDFC Asset Management Company Ltd.	Financial Services
HDFCBANK.NS	HDFC Bank Ltd.	Financial Services
HDFCLIFE.NS	HDFC Life Insurance Company Ltd.	Financial Services
HFCL.NS	HFCL Ltd.	Telecommunication
HAPPSTMNDS.NS	Happiest Minds Technologies Ltd.	Information Technology
HAVELLS.NS	Havells India Ltd.	Consumer Durables
HEROMOTOCO.NS	Hero MotoCorp Ltd.	Automobile and Auto Components
HSCL.NS	Himadri Speciality Chemical Ltd.	Chemicals
HINDALCO.NS	Hindalco Industries Ltd.	Metals & Mining
HAL.NS	Hindustan Aeronautics Ltd.	Capital Goods
HINDCOPPER.NS	Hindustan Copper Ltd.	Metals & Mining
HINDPETRO.NS	Hindustan Petroleum Corporation Ltd.	Oil Gas & Consumable Fuels
HINDUNILVR.NS	Hindustan Unilever Ltd.	Fast Moving Consumer Goods
HINDZINC.NS	Hindustan Zinc Ltd.	Metals & Mining
POWERINDIA.NS	Hitachi Energy India Ltd.	Capital Goods
HOMEFIRST.NS	Home First Finance Company India Ltd.	Financial Services
HONASA.NS	Honasa Consumer Ltd.	Fast Moving Consumer Goods
HONAUT.NS	Honeywell Automation India Ltd.	Capital Goods
HUDCO.NS	Housing & Urban Development Corporation Ltd.	Financial Services
HYUNDAI.NS	Hyundai Motor India Ltd.	Automobile and Auto Components
ICICIBANK.NS	ICICI Bank Ltd.	Financial Services
ICICIGI.NS	ICICI Lombard General Insurance Company Ltd.	Financial Services
ICICIPRULI.NS	ICICI Prudential Life Insurance Company Ltd.	Financial Services
IDBI.NS	IDBI Bank Ltd.	Financial Services
IDFCFIRSTB.NS	IDFC First Bank Ltd.	Financial Services
IFCI.NS	IFCI Ltd.	Financial Services
IIFL.NS	IIFL Finance Ltd.	Financial Services
INOXINDIA.NS	INOX India Ltd.	Capital Goods
IRB.NS	IRB Infrastructure Developers Ltd.	Construction
IRCON.NS	IRCON International Ltd.	Construction
ITC.NS	ITC Ltd.	Fast Moving Consumer Goods
ITI.NS	ITI Ltd.	Telecommunication
INDGN.NS	Indegene Ltd.	Healthcare
INDIACEM.NS	India Cements Ltd.	Construction Materials
INDIAMART.NS	Indiamart Intermesh Ltd.	Consumer Services
INDIANB.NS	Indian Bank	Financial Services
IEX.NS	Indian Energy Exchange Ltd.	Financial Services
INDHOTEL.NS	Indian Hotels Co. Ltd.	Consumer Services
IOC.NS	Indian Oil Corporation Ltd.	Oil Gas & Consumable Fuels
IOB.NS	Indian Overseas Bank	Financial Services
IRCTC.NS	Indian Railway Catering And Tourism Corporation Ltd.	Consumer Services
IRFC.NS	Indian Railway Finance Corporation Ltd.	Financial Services
IREDA.NS	Indian Renewable Energy Development Agency Ltd.	Financial Services
IGL.NS	Indraprastha Gas Ltd.	Oil Gas & Consumable Fuels
INDUSTOWER.NS	Indus Towers Ltd.	Telecommunication
INDUSINDBK.NS	IndusInd Bank Ltd.	Financial Services
NAUKRI.NS	Info Edge (India) Ltd.	Consumer Services
INFY.NS	Infosys Ltd.	Information Technology
INOXWIND.NS	Inox Wind Ltd.	Capital Goods
INTELLECT.NS	Intellect Design Arena Ltd.	Information Technology
INDIGO.NS	InterGlobe Aviation Ltd.	Services
IGIL.NS	International Gemmological Institute (India) Ltd.	Services
IKS.NS	Inventurus Knowledge Solutions Ltd.	Information Technology
IPCALAB.NS	Ipca Laboratories Ltd.	Healthcare
JBCHEPHARM.NS	J.B. Chemicals & Pharmaceuticals Ltd.	Healthcare
JKCEMENT.NS	J.K. Cement Ltd.	Construction Materials
JBMA.NS	JBM Auto Ltd.	Automobile and Auto Components
JKTYRE.NS	JK Tyre & Industries Ltd.	Automobile and Auto Components
JMFINANCIL.NS	JM Financial Ltd.	Financial Services
JSWENERGY.NS	JSW Energy Ltd.	Power
JSWHL.NS	JSW Holdings Ltd.	Financial Services
JSWINFRA.NS	JSW Infrastructure Ltd.	Services
JSWSTEEL.NS	JSW Steel Ltd.	Metals & Mining
JPPOWER.NS	Jaiprakash Power Ventures Ltd.	Power
J&KBANK.NS	Jammu & Kashmir Bank Ltd.	Financial Services
JINDALSAW.NS	Jindal Saw Ltd.	Capital Goods
JSL.NS	Jindal Stainless Ltd.	Metals & Mining
JINDALSTEL.NS	Jindal Steel & Power Ltd.	Metals & Mining
JIOFIN.NS	Jio Financial Services Ltd.	Financial Services
JUBLFOOD.NS	Jubilant Foodworks Ltd.	Consumer Services
JUBLINGREA.NS	Jubilant Ingrevia Ltd.	Chemicals
JUBLPHARMA.NS	Jubilant Pharmova Ltd.	Healthcare
JWL.NS	Jupiter Wagons Ltd.	Capital Goods
JUSTDIAL.NS	Justdial Ltd.	Consumer Services
JYOTHYLAB.NS	Jyothy Labs Ltd.	Fast Moving Consumer Goods
JYOTICNC.NS	Jyoti CNC Automation Ltd.	Capital Goods
KPRMILL.NS	K.P.R. Mill Ltd.	Textiles
KEI.NS	KEI Industries Ltd.	Capital Goods
KNRCON.NS	KNR Constructions Ltd.	Construction
KPITTECH.NS	KPIT Technologies Ltd.	Information Technology
KAJARIACER.NS	Kajaria Ceramics Ltd.	Consumer Durables
KPIL.NS	Kalpataru Projects International Ltd.	Construction
KALYANKJIL.NS	Kalyan Jewellers India Ltd.	Consumer Durables
KANSAINER.NS	Kansai Nerolac Paints Ltd.	Consumer Durables
KARURVYSYA.NS	Karur Vysya Bank Ltd.	Financial Services
KAYNES.NS	Kaynes Technology India Ltd.	Capital Goods
KEC.NS	Kec International Ltd.	Construction
KFINTECH.NS	Kfin Technologies Ltd.	Financial Services
KIRLOSBROS.NS	Kirloskar Brothers Ltd.	Capital Goods
KIRLOSENG.NS	Kirloskar Oil Eng Ltd.	Capital Goods
KOTAKBANK.NS	Kotak Mahindra Bank Ltd.	Financial Services
KIMS.NS	Krishna Institute of Medical Sciences Ltd.	Healthcare
LTF.NS	L&T Finance Ltd.	Financial Services
LTTS.NS	L&T Technology Services Ltd.	Information Technology
LICHSGFIN.NS	LIC Housing Finance Ltd.	Financial Services
LTFOODS.NS	LT Foods Ltd.	Fast Moving Consumer Goods
LTIM.NS	LTIMindtree Ltd.	Information Technology
LT.NS	Larsen & Toubro Ltd.	Construction
LATENTVIEW.NS	Latent View Analytics Ltd.	Information Technology
LAURUSLABS.NS	Laurus Labs Ltd.	Healthcare
LEMONTREE.NS	Lemon Tree Hotels Ltd.	Consumer Services
LICI.NS	Life Insurance Corporation of India	Financial Services
LINDEINDIA.NS	Linde India Ltd.	Chemicals
LLOYDSME.NS	Lloyds Metals And Energy Ltd.	Metals & Mining
LODHA.NS	Lodha Developers Ltd.	Realty
LUPIN.NS	Lupin Ltd.	Healthcare
MMTC.NS	MMTC Ltd.	Services
MRF.NS	MRF Ltd.	Automobile and Auto Components
MGL.NS	Mahanagar Gas Ltd.	Oil Gas & Consumable Fuels
MAHSEAMLES.NS	Maharashtra Seamless Ltd.	Capital Goods
M&MFIN.NS	Mahindra & Mahindra Financial Services Ltd.	Financial Services
M&M.NS	Mahindra & Mahindra Ltd.	Automobile and Auto Components
MANAPPURAM.NS	Manappuram Finance Ltd.	Financial Services
MRPL.NS	Mangalore Refinery & Petrochemicals Ltd.	Oil Gas & Consumable Fuels
MANKIND.NS	Mankind Pharma Ltd.	Healthcare
MARICO.NS	Marico Ltd.	Fast Moving Consumer Goods
MARUTI.NS	Maruti Suzuki India Ltd.	Automobile and Auto Components
MASTEK.NS	Mastek Ltd.	Information Technology
MFSL.NS	Max Financial Services Ltd.	Financial Services
MAXHEALTH.NS	Max Healthcare Institute Ltd.	Healthcare
MAZDOCK.NS	Mazagoan Dock Shipbuilders Ltd.	Capital Goods
METROPOLIS.NS	Metropolis Healthcare Ltd.	Healthcare
MINDACORP.NS	Minda Corporation Ltd.	Automobile and Auto Components
MSUMI.NS	Motherson Sumi Wiring India Ltd.	Automobile and Auto Components
MOTILALOFS.NS	Motilal Oswal Financial Services Ltd.	Financial Services
MPHASIS.NS	MphasiS Ltd.	Information Technology
MCX.NS	Multi Commodity Exchange of India Ltd.	Financial Services
MUTHOOTFIN.NS	Muthoot Finance Ltd.	Financial Services
NATCOPHARM.NS	NATCO Pharma Ltd.	Healthcare
NBCC.NS	NBCC (India) Ltd.	Construction
NCC.NS	NCC Ltd.	Construction
NHPC.NS	NHPC Ltd.	Power
NLCINDIA.NS	NLC India Ltd.	Power
NMDC.NS	NMDC Ltd.	Metals & Mining
NSLNISP.NS	NMDC Steel Ltd.	Metals & Mining
NTPCGREEN.NS	NTPC Green Energy Ltd.	Power
NTPC.NS	NTPC Ltd.	Power
NH.NS	Narayana Hrudayalaya Ltd.	Healthcare
NATIONALUM.NS	National Aluminium Co. Ltd.	Metals & Mining
NAVA.NS	Nava Ltd.	Power
NAVINFLUOR.NS	Navin Fluorine International Ltd.	Chemicals
NESTLEIND.NS	Nestle India Ltd.	Fast Moving Consumer Goods
NETWEB.NS	Netweb Technologies India Ltd.	Information Technology
NETWORK18.NS	Network18 Media & Investments Ltd.	Media Entertainment & Publication
NEULANDLAB.NS	Neuland Laboratories Ltd.	Healthcare
NEWGEN.NS	Newgen Software Technologies Ltd.	Information Technology
NAM-INDIA.NS	Nippon Life India Asset Management Ltd.	Financial Services
NIVABUPA.NS	Niva Bupa Health Insurance Company Ltd.	Financial Services
NUVAMA.NS	Nuvama Wealth Management Ltd.	Financial Services
OBEROIRLTY.NS	Oberoi Realty Ltd.	Realty
ONGC.NS	Oil & Natural Gas Corporation Ltd.	Oil Gas & Consumable Fuels
OIL.NS	Oil India Ltd.	Oil Gas & Consumable Fuels
OLAELEC.NS	Ola Electric Mobility Ltd.	Automobile and Auto Components
OLECTRA.NS	Olectra Greentech Ltd.	Automobile and Auto Components
PAYTM.NS	One 97 Communications Ltd.	Financial Services
OFSS.NS	Oracle Financial Services Software Ltd.	Information Technology
POLICYBZR.NS	PB Fintech Ltd.	Financial Services
PCBL.NS	PCBL Chemical Ltd.	Chemicals
PGEL.NS	PG Electroplast Ltd.	Consumer Durables
PIIND.NS	PI Industries Ltd.	Chemicals
PNBHOUSING.NS	PNB Housing Finance Ltd.	Financial Services
PNCINFRA.NS	PNC Infratech Ltd.	Construction
PTCIL.NS	PTC Industries Ltd.	Capital Goods
PVRINOX.NS	PVR INOX Ltd.	Media Entertainment & Publication
PAGEIND.NS	Page Industries Ltd.	Textiles
PATANJALI.NS	Patanjali Foods Ltd.	Fast Moving Consumer Goods
PERSISTENT.NS	Persistent Systems Ltd.	Information Technology
PETRONET.NS	Petronet LNG Ltd.	Oil Gas & Consumable Fuels
PFIZER.NS	Pfizer Ltd.	Healthcare
PHOENIXLTD.NS	Phoenix Mills Ltd.	Realty
PIDILITIND.NS	Pidilite Industries Ltd.	Chemicals
PEL.NS	Piramal Enterprises Ltd.	Financial Services
PPLPHARMA.NS	Piramal Pharma Ltd.	Healthcare
POLYMED.NS	Poly Medicure Ltd.	Healthcare
POLYCAB.NS	Polycab India Ltd.	Capital Goods
POONAWALLA.NS	Poonawalla Fincorp Ltd.	Financial Services
PFC.NS	Power Finance Corporation Ltd.	Financial Services
POWERGRID.NS	Power Grid Corporation of India Ltd.	Power
PRAJIND.NS	Praj Industries Ltd.	Capital Goods
PREMIERENE.NS	Premier Energies Ltd.	Capital Goods
PRESTIGE.NS	Prestige Estates Projects Ltd.	Realty
PNB.NS	Punjab National Bank	Financial Services
RRKABEL.NS	R R Kabel Ltd.	Capital Goods
RBLBANK.NS	RBL Bank Ltd.	Financial Services
RECLTD.NS	REC Ltd.	Financial Services
RHIM.NS	RHI MAGNESITA INDIA LTD.	Capital Goods
RITES.NS	RITES Ltd.	Construction
RADICO.NS	Radico Khaitan Ltd	Fast Moving Consumer Goods
RVNL.NS	Rail Vikas Nigam Ltd.	Construction
RAILTEL.NS	Railtel Corporation Of India Ltd.	Telecommunication
RAINBOW.NS	Rainbow Childrens Medicare Ltd.	Healthcare
RKFORGE.NS	Ramkrishna Forgings Ltd.	Automobile and Auto Components
RCF.NS	Rashtriya Chemicals & Fertilizers Ltd.	Chemicals
RTNINDIA.NS	RattanIndia Enterprises Ltd.	Consumer Services
RAYMONDLSL.NS	Raymond Lifestyle Ltd.	Textiles
RAYMOND.NS	Raymond Ltd.	Realty
REDINGTON.NS	Redington Ltd.	Services
RELIANCE.NS	Reliance Industries Ltd.	Oil Gas & Consumable Fuels
RPOWER.NS	Reliance Power Ltd.	Power
ROUTE.NS	Route Mobile Ltd.	Telecommunication
SBFC.NS	SBFC Finance Ltd.	Financial Services
SBICARD.NS	SBI Cards and Payment Services Ltd.	Financial Services
SBILIFE.NS	SBI Life Insurance Company Ltd.	Financial Services
SJVN.NS	SJVN Ltd.	Power
SKFINDIA.NS	SKF India Ltd.	Capital Goods
SRF.NS	SRF Ltd.	Chemicals
SAGILITY.NS	Sagility India Ltd.	Information Technology
SAILIFE.NS	Sai Life Sciences Ltd.	Healthcare
SAMMAANCAP.NS	Sammaan Capital Ltd.	Financial Services
MOTHERSON.NS	Samvardhana Motherson International Ltd.	Automobile and Auto Components
SAPPHIRE.NS	Sapphire Foods India Ltd.	Consumer Services
SARDAEN.NS	Sarda Energy and Minerals Ltd.	Metals & Mining
SAREGAMA.NS	Saregama India Ltd	Media Entertainment & Publication
SCHAEFFLER.NS	Schaeffler India Ltd.	Automobile and Auto Components
SCHNEIDER.NS	Schneider Electric Infrastructure Ltd.	Capital Goods
SCI.NS	Shipping Corporation of India Ltd.	Services
SHREECEM.NS	Shree Cement Ltd.	Construction Materials
RENUKA.NS	Shree Renuka Sugars Ltd.	Fast Moving Consumer Goods
SHRIRAMFIN.NS	Shriram Finance Ltd.	Financial Services
SHYAMMETL.NS	Shyam Metalics and Energy Ltd.	Capital Goods
SIEMENS.NS	Siemens Ltd.	Capital Goods
SIGNATURE.NS	Signatureglobal (India) Ltd.	Realty
SOBHA.NS	Sobha Ltd.	Realty
SOLARINDS.NS	Solar Industries India Ltd.	Chemicals
SONACOMS.NS	Sona BLW Precision Forgings Ltd.	Automobile and Auto Components
SONATSOFTW.NS	Sonata Software Ltd.	Information Technology
STARHEALTH.NS	Star Health and Allied Insurance Company Ltd.	Financial Services
SBIN.NS	State Bank of India	Financial Services
SAIL.NS	Steel Authority of India Ltd.	Metals & Mining
SWSOLAR.NS	Sterling and Wilson Renewable Energy Ltd.	Construction
SUMICHEM.NS	Sumitomo Chemical India Ltd.	Chemicals
SUNPHARMA.NS	Sun Pharmaceutical Industries Ltd.	Healthcare
SUNTV.NS	Sun TV Network Ltd.	Media Entertainment & Publication
SUNDARMFIN.NS	Sundaram Finance Ltd.	Financial Services
SUNDRMFAST.NS	Sundram Fasteners Ltd.	Automobile and Auto Components
SUPREMEIND.NS	Supreme Industries Ltd.	Capital Goods
SUZLON.NS	Suzlon Energy Ltd.	Capital Goods
SWANENERGY.NS	Swan Energy Ltd.	Chemicals
SWIGGY.NS	Swiggy Ltd.	Consumer Services
SYNGENE.NS	Syngene International Ltd.	Healthcare
SYRMA.NS	Syrma SGS Technology Ltd.	Capital Goods
TBOTEK.NS	TBO Tek Ltd.	Consumer Services
TVSMOTOR.NS	TVS Motor Company Ltd.	Automobile and Auto Components
TANLA.NS	Tanla Platforms Ltd.	Information Technology
TATACHEM.NS	Tata Chemicals Ltd.	Chemicals
